Index,Data_Type,Cluster_Label,Silhouette_Score
SNRPD3,Train,0,0.9428414916481126
Z99127.4,Train,0,0.9471666840484244
BARX2,Train,0,0.8609526927955826
HPCAL4,Train,0,0.9465522330743739
HECW2-AS1,Train,0,0.9464246839951759
AC240274.1,Train,0,0.9456781745750327
KIF26A,Train,0,0.9475978932920295
MALINC1,Train,0,0.9481456481039763
LINC01535,Train,0,0.944751090920755
AC104472.1,Train,0,0.9463994438770459
MEGF10,Train,0,0.9468282955750618
ITGA10,Train,0,0.9481542037691911
EPB41L4A,Train,1,0.48955298356844024
ABCA3,Train,0,0.931193706617583
TTC25,Train,0,0.9345193458433425
HSPA8,Train,0,0.9389989964946324
AC027237.2,Train,0,0.9476664264190182
LINC01967,Train,0,0.9466024326071488
CPNE5,Train,0,0.9451888255582622
EMC3,Train,0,0.9071483097635321
AL137186.1,Train,0,0.9465494043493258
ACOX2,Train,0,0.9379781498392569
CFD,Train,0,0.9471789886226601
AF230666.2,Train,0,0.9473285505130538
TBL1Y,Train,0,0.9252695965649788
OR2A42,Train,0,0.9468553655796492
AF111167.1,Train,0,0.9474930565831842
RNLS,Train,0,0.7080456765931913
PPIL3,Train,0,0.9332130378454181
SOX2,Train,0,0.9464766995835446
ILRUN,Train,0,0.638675674329967
AC022140.1,Train,0,0.9464779692692091
LINC02078,Train,0,0.9467024149961245
AL391988.1,Train,0,0.9472477562562822
RPA4,Train,0,0.9475864287733059
FMO3,Train,0,0.9455237458993643
SCIN,Train,1,0.16100975775170284
AC012511.1,Train,0,0.9464682081643879
PTS,Train,0,0.8275821051693666
EOGT,Train,0,0.9278521444767325
SNX9,Train,1,0.3754709051944298
HABP4,Train,0,0.7911160784960521
ENTPD1,Train,0,0.8706142112057116
TAF12,Train,0,0.9266661035897162
CACHD1,Train,0,0.675934657126267
LINC00526,Train,0,0.947287203977684
AC007370.2,Train,0,0.9476707043892381
KDM4A,Train,0,0.9007975143839797
AL158832.1,Train,0,0.9468583494321975
LRP8,Train,0,0.9481035443455004
GALNT5,Train,0,0.942088629263406
AC009053.3,Train,0,0.9105328669689128
ZNF674-AS1,Train,0,0.9476131918005645
AC093909.2,Train,0,0.9469872673845907
RPL35,Train,0,0.8855292472850291
DESI1,Train,0,0.9328237523945921
C2orf88,Train,0,0.9399131297446489
DOC2B,Train,0,0.9324072552639646
CASC2,Train,0,0.7488446934256002
IGF2-AS,Train,0,0.9464675609187438
NOP16,Train,0,0.9481350357292668
AC068389.3,Train,0,0.9469088677375195
AC013460.1,Train,0,0.9479455687579729
CAMKK2,Train,0,0.9055659956478239
